gender,country,fbref,fbref_name,fotmob,fotmob_name,transfermarkt,transfermarkt_name,transfermarkt_link,fcpython,fivethirtyeight,football_data,american_soccer_analysis
M,France,1cbf5f9e,Nîmes,6394.0,Nimes,1160.0,Nîmes Olympique,olympique-nimes,Nîmes Olympique,Nimes,Nimes,
M,France,e2d8892c,Paris Saint-Germain,9847.0,Paris Saint-Germain,583.0,Paris Saint-Germain,fc-paris-saint-germain,Paris Saint-Germain,Paris Saint-Germain,Paris SG,
M,France,7fdd64e0,Reims,9837.0,Reims,1421.0,Stade Reims,stade-reims,Stade Reims,Reims,Reims,
M,France,d298ef2c,Saint-Étienne,9853.0,Saint-Etienne,618.0,AS Saint-Étienne,as-saint-etienne,AS Saint-Étienne,St Etienne,St Etienne,
M,France,b3072e00,Rennes,9851.0,Rennes,273.0,Stade Rennais FC,fc-stade-rennes,Stade Rennais FC,Stade Rennes,Rennes,
M,France,c0d3eab4,Strasbourg,9848.0,Strasbourg,667.0,RC Strasbourg Alsace,racing-strassburg,RC Strasbourg Alsace,Strasbourg,Strasbourg,
M,France,3f8c4b5f,Toulouse,9941.0,Toulouse,415.0,FC Toulouse,fc-toulouse,FC Toulouse,Toulouse,Toulouse,
M,France,54195385,Troyes,10242.0,Troyes,1095.0,ESTAC Troyes,es-troyes-ac,,Troyes,Troyes,
M,Germany,6f2c108c,Nürnberg,8165.0,Nürnberg,4.0,1.FC Nuremberg,1-fc-nurnberg,1.FC Nuremberg,1. FC Nürnberg,Nurnberg,
M,Germany,7a41008f,Union Berlin,8149.0,Union Berlin,89.0,1.FC Union Berlin,1-fc-union-berlin,1.FC Union Berlin,1. FC Union Berlin,Union Berlin,
M,Germany,247c4b67,Arminia,9912.0,Arminia Bielefeld,10.0,Arminia Bielefeld,arminia-bielefeld,Arminia Bielefeld,Arminia Bielefeld,Bielefeld,
